event_id,claim_id,policy_no,event_date,event_type,event_channel,handler_name,amount,outcome,sla_met,response_time_hrs,notes,system_source,created_at
EVT-000110,CLM-00221,POL-559381,2021-02-03,Inspection Scheduled,Phone,Sharon Anderson,,Escalated,True,8.4,Field inspection scheduled for 2021-02-16. Inspector: Christopher Hall.,Portal,2021-02-03
EVT-000111,CLM-00212,POL-260263,2021-02-02,Inspection Scheduled,Email,Susan Harris,,No Action Needed,True,7.4,Field inspection scheduled for 2021-02-12. Inspector: Susan Nguyen.,MobileApp,2021-02-02
EVT-000112,CLM-00365,POL-684004,2021-04-25,Inspection Scheduled,Phone,Kimberly Martinez,,Escalated,True,27.7,Field inspection scheduled for 2021-04-29. Inspector: Kimberly Thomas.,Portal,2021-04-25
EVT-000113,CLM-00214,POL-390120,2020-06-20,New Claim,Mobile App,Kimberly Martinez,,Follow-up Required,True,30.4,Claim received and assigned claim number. Initial triage completed.,CMS,2020-06-20
EVT-000114,CLM-00381,POL-863587,2024-09-14,Inspection Scheduled,Email,James Carter,,No Action Needed,True,34.1,Field inspection scheduled for 2024-09-28. Inspector: Donald Rodriguez.,EmailGateway,2024-09-14
EVT-000115,CLM-00233,POL-564656,2024-03-01,Inspection Scheduled,Phone,Amanda Miller,,No Action Needed,False,52.2,Field inspection scheduled for 2024-03-12. Inspector: Sandra Carter.,CMS,2024-03-01
EVT-000116,CLM-00563,POL-153045,2020-06-01,Settlement Accepted,Fax,Jessica Baker,,Follow-up Required,True,38.1,Claimant accepted settlement offer. Release form sent for signature.,MobileApp,2020-06-01
EVT-000117,CLM-00574,POL-354801,2024-04-14,Document Submitted,Mobile App,Patricia Scott,,No Action Needed,True,27.0,Document type: Tax return received via Mobile App.,CMS,2024-04-14
EVT-000118,CLM-00545,POL-299122,2024-06-22,Settlement Accepted,Mobile App,Sandra Anderson,,No Action Needed,True,24.3,Claimant accepted settlement offer. Release form sent for signature.,CMS,2024-06-22
EVT-000119,CLM-00319,POL-837715,2024-09-04,Settlement Offered,Email,Jessica Baker,,Follow-up Required,True,32.1,,Portal,2024-09-04
EVT-000120,CLM-00254,POL-663750,2021-01-24,Appeal Filed,Mobile App,Cynthia Nguyen,,Escalated,True,59.9,Claimant filed formal appeal against coverage decision. Appeal team assigned.,EmailGateway,2021-01-24
EVT-000121,CLM-00252,POL-609597,2023-04-21,Claim Closed,Mobile App,Patricia Scott,,Escalated,False,6.5,Claim closed. Final disposition: Paid in full.,EmailGateway,2023-04-21
EVT-000122,CLM-00277,POL-800305,2021-02-02,Document Submitted,Email,Kimberly Martinez,,No Action Needed,False,23.4,Document type: Signed statement received via Email.,PhoneSystem,2021-02-02
EVT-000123,CLM-00966,POL-922157,2021-06-16,Settlement Accepted,Web Portal,Joseph Johnson,,Follow-up Required,False,42.7,Claimant accepted settlement offer. Release form sent for signature.,MobileApp,2021-06-16
EVT-000124,CLM-00531,POL-159642,2021-11-14,Settlement Offered,Mobile App,Kimberly Phillips,,No Action Needed,True,59.3,,MobileApp,2021-11-14
EVT-000125,CLM-00759,POL-428838,2021-01-18,Settlement Offered,In-Person,Kimberly Martinez,,Follow-up Required,True,51.6,,MobileApp,2021-01-18
EVT-000126,CLM-00499,POL-653306,2024-02-16,Settlement Accepted,In-Person,Sandra Anderson,,Pending,True,63.4,Claimant accepted settlement offer. Release form sent for signature.,CMS,2024-02-16
EVT-000127,CLM-00927,POL-246413,2024-03-30,Payment Issued,Mobile App,Sharon Anderson,43972.02,Pending,False,19.1,"Payment of $43,972.02 issued to claimant. Check #631733.",EmailGateway,2024-03-30
EVT-000128,CLM-00494,POL-459536,2021-08-08,Inspection Scheduled,Web Portal,Joseph Johnson,,Escalated,True,46.9,Field inspection scheduled for 2021-08-14. Inspector: Jason Williams.,EmailGateway,2021-08-08
EVT-000129,CLM-00755,POL-595948,2022-12-05,Settlement Accepted,Fax,Sharon Anderson,,Escalated,False,21.0,Claimant accepted settlement offer. Release form sent for signature.,CMS,2022-12-05
EVT-000130,CLM-00030,POL-624902,2020-09-18,Settlement Accepted,In-Person,Margaret Rivera,,Pending,True,14.3,Claimant accepted settlement offer. Release form sent for signature.,MobileApp,2020-09-18
EVT-000131,CLM-00676,POL-376807,2022-11-18,New Claim,Phone,Jason Williams,,Follow-up Required,True,59.6,Claim received and assigned claim number. Initial triage completed.,MobileApp,2022-11-18
EVT-000132,CLM-00413,POL-559381,2023-05-27,Appeal Filed,Web Portal,Sharon Anderson,,Completed,True,67.4,Claimant filed formal appeal against coverage decision. Appeal team assigned.,CMS,2023-05-27
EVT-000133,CLM-00497,POL-765095,2020-10-07,Status Update,Web Portal,Joseph Johnson,,Pending,True,11.2,Claim status updated to Awaiting Inspection. Adjuster notes recorded.,EmailGateway,2020-10-07
EVT-000134,CLM-00668,POL-723398,2020-03-13,Payment Issued,Email,Joseph Johnson,32062.37,Completed,False,38.9,"Payment of $32,062.37 issued to claimant. Check #919689.",CMS,2020-03-13
EVT-000135,CLM-00631,POL-197793,2023-11-08,Appeal Filed,Web Portal,Cynthia Nguyen,,Completed,False,45.4,Claimant filed formal appeal against coverage decision. Appeal team assigned.,Portal,2023-11-08
EVT-000136,CLM-00180,POL-858490,2024-05-16,New Claim,Phone,Amanda Miller,,Completed,True,3.3,Claim received and assigned claim number. Initial triage completed.,EmailGateway,2024-05-16
EVT-000137,CLM-00864,POL-969634,2020-07-25,New Claim,In-Person,Jessica Baker,,Follow-up Required,True,29.6,Claim received and assigned claim number. Initial triage completed.,CMS,2020-07-25
EVT-000138,CLM-00830,POL-354801,2024-03-22,Appeal Filed,Web Portal,Jason Williams,,Pending,True,8.6,Claimant filed formal appeal against coverage decision. Appeal team assigned.,Portal,2024-03-22
EVT-000139,CLM-00763,POL-313487,2024-02-10,Claim Closed,Web Portal,Patricia Garcia,,Pending,True,16.0,Claim closed. Final disposition: Partially paid.,MobileApp,2024-02-10
EVT-000140,CLM-00653,POL-375504,2023-10-28,Document Submitted,Fax,Jason Perez,,Pending,True,3.1,Document type: Repair estimate received via Fax.,Portal,2023-10-28
EVT-000141,CLM-00103,POL-310922,2023-12-31,Inspection Scheduled,In-Person,Amanda Miller,,Escalated,True,49.3,Field inspection scheduled for 2024-01-04. Inspector: Kimberly Thomas.,CMS,2023-12-31
EVT-000142,CLM-00001,POL-120422,2021-11-04,Claim Closed,Mobile App,Margaret Rivera,,Pending,True,60.6,Claim closed. Final disposition: Paid in full.,MobileApp,2021-11-04
EVT-000143,CLM-00664,POL-542666,2021-09-15,Status Update,In-Person,James Carter,,Pending,True,48.0,Claim status updated to Awaiting Inspection. Adjuster notes recorded.,MobileApp,2021-09-15
EVT-000144,CLM-00835,POL-211579,2023-09-04,Status Update,Phone,Kimberly Thomas,,Completed,True,8.3,Claim status updated to Settled. Adjuster notes recorded.,CMS,2023-09-04
